customerid,name,address,citystatezip,birthdate,phone,timezone,lat,long
1001,"Jacqueline Alvarez","105N Elizabeth St","Manhattan, NY 10013","1958-01-23","315-377-5031","America/New_York",40.71817008024695,-73.9974676205628
1002,"Julie Howell","185-1 Linden St","Brooklyn, NY 11221","1956-12-03","680-537-8725","America/New_York",40.69426,-73.92167
1003,"Christopher Ali","174-28 Baisley Blvd","Jamaica, NY 11434","2001-09-20","315-846-6054","America/New_York",40.68902,-73.77347
1004,"Christopher Rodriguez","102 Mount Hope Pl","Bronx, NY 10453","1959-07-10","516-275-2292","America/New_York",40.84939,-73.90916
1005,"Jeffrey Wilkinson","17 St Marks Pl","Manhattan, NY 10003","1988-09-08","838-830-6960","America/New_York",40.72804,-73.98712
1006,"Emma Wells","86-34 102nd Rd","Ozone Park, NY 11416","1984-02-05","315-236-2043","America/New_York",40.68096,-73.85002
1007,"Christopher Salas","1488 9th St SE","Baton Rouge, LA 70808","1967-01-18","318-339-3162","America/Chicago",30.44200,-91.13110
1008,"Christopher Boyd","2428 Main Way SE","Ogden, UT 84404","1956-07-04","435-643-9792","America/Denver",41.22790,-111.96820
1009,"Mathew Watkins","448 S 5th St","Brooklyn, NY 11211","1976-04-18","914-318-5960","America/New_York",40.70894,-73.95963
1010,"Carol May","4370 NE Lee Pl","Sully Square, VA 20171","1951-10-30","948-224-6825","America/New_York",38.91830,-77.42480
1011,"Morgan Robinson","448 E 81st St","Manhattan, NY 10028","1951-03-09","917-466-5214","America/New_York",40.77575,-73.95789
1012,"Andrew Bradford","67A Bevy Ct","Brooklyn, NY 11229","1989-01-16","929-485-9213","America/New_York",40.59380,-73.92747
1013,"Kevin Watson","1060A 39th St","Brooklyn, NY 11219","1995-07-04","838-625-4866","America/New_York",40.64326,-73.99460
1014,"Benjamin Johnson","4497 N 11th Way","Los Angeles, CA 90008","1991-12-10","279-851-9725","America/Los_Angeles",34.11410,-118.40680
1015,"Randy Poole Jr.","2635 Maple St","Philadelphia, PA 19144","1951-01-19","570-210-2650","America/New_York",40.00770,-75.13390
1016,"Deborah Wise","2370 NW 8th Ln","Sacramento, CA 95825","1964-05-14","840-269-1237","America/Los_Angeles",38.56770,-121.46850
1017,"Maria Reyes","226 Maple Dr","Detroit, MI 48208","1973-12-02","586-808-3044","America/Detroit",42.38340,-83.10240
1018,"Carmen Smith","1843A E Tremont Ave","Bronx, NY 10460","1955-06-29","315-795-3014","America/New_York",40.84061,-73.88576
1019,"Antonio Smith","2624B Adam Clayton Powell Jr Blvd","Manhattan, NY 10039","1967-11-12","838-429-3211","America/New_York",40.82563,-73.93531
1020,"Jennifer Oconnor","341 Britton Ave","Staten Island, NY 10304","1968-07-25","914-349-9960","America/New_York",40.60964,-74.08751
1021,"Terri Vargas","143A W 225th St","Bronx, NY 10463","1982-02-19","516-798-3811","America/New_York",40.87468,-73.91338
1022,"Robert Johnson","128-48 27th Ave","Flushing, NY 11354","1975-08-19","838-751-3188","America/New_York",40.77285,-73.83549
1023,"Donald Stevens","4526 Park Pl W","Bolindale, OH 44484","2001-06-23","937-591-0417","America/New_York",41.20880,-80.77850
1024,"Melissa Brandy Gonzalez","137 Park Way W","Walker Mill, MD 20747","1950-12-29","667-245-2209","America/New_York",38.87580,-76.88540
1025,"Anna Jacobs","44-54 165th St","Flushing, NY 11358","1979-08-21","718-476-0120","America/New_York",40.75906,-73.80065
1026,"Diane Villarreal","4522A Carpenter Ave","Bronx, NY 10470","1962-07-22","914-798-5915","America/New_York",40.90509,-73.85591
1027,"William Ramirez","245A E 4th St","Manhattan, NY 10009","1972-12-10","315-478-3906","America/New_York",40.72261,-73.98444
1028,"Dillon Dudley","1937 19th Ln","Brooklyn, NY 11214","1968-01-17","585-433-3925","America/New_York",40.59929,-74.00580
1029,"Douglas Ramirez","977 2nd Pl","McMinnville, OR 97128","1970-01-01","971-738-0927","America/Los_Angeles",45.21100,-123.19180
1030,"Joseph Miller Jr.","352 NE Park Rd","Dallas, TX 75231","1984-10-31","254-738-1139","America/Chicago",32.79350,-96.76670
1031,"Christopher Macdonald","1021 Glenmore Ave","Brooklyn, NY 11208","2000-03-19","516-951-9076","America/New_York",40.67752,-73.87385
1032,"Kevin Kennedy","607 W 196th St","Manhattan, NY 10040","1961-11-27","315-502-9459","America/New_York",40.86072,-73.92926
1033,"Kent Nunez","120 Richardson St","Brooklyn, NY 11211","1985-05-05","914-572-1691","America/New_York",40.71855,-73.94312
1034,"Debbie Richmond","1248A Southern Blvd","Bronx, NY 10459","1980-02-16","347-954-4913","America/New_York",40.83176,-73.89145
1035,"Daryl White","2343 Boynton Pl","Brooklyn, NY 11223","1949-05-21","838-900-2590","America/New_York",40.59116,-73.97609
1036,"Michael Davis","83-48 Vietor Ave","Elmhurst, NY 11373","1955-07-27","347-862-0409","America/New_York",40.74386,-73.88075
1037,"Angela Brown","3793 S Oak Way","Chicago, IL 60623","1955-09-24","618-908-4521","America/Chicago",41.83750,-87.68660
1038,"Beth Collins","2212 S Park St","La Puente, CA 91746","1994-03-20","707-558-9036","America/Los_Angeles",34.03230,-117.95330
1039,"Sara Reeves","146-7 230th Pl","Springfield Gardens, NY 11413","1965-10-08","838-535-4689","America/New_York",40.65782,-73.74955
1040,"Anthony Hicks","329 E Fordham Rd","Bronx, NY 10458","1957-01-01","212-963-6735","America/New_York",40.85969,-73.89310
1041,"Melissa Nicole Hawkins","4242B Baychester Ave","Bronx, NY 10466","1996-06-10","516-763-0820","America/New_York",40.88406,-73.84269
1042,"John Abbott","491A E 89th St","Manhattan, NY 10128","1962-10-06","838-695-2618","America/New_York",40.77863,-73.94834
1043,"Alexander Murphy Jr.","119-5 146th St","Jamaica, NY 11436","1982-12-29","585-721-5682","America/New_York",40.66747,-73.79439
1044,"Jason Browning","3462 Willow Rd SE","Los Angeles, CA 90008","1951-04-07","619-849-7879","America/Los_Angeles",34.11410,-118.40680
1045,"Morgan Herrera","131 Grand St","Manhattan, NY 10013","1983-09-23","315-267-7456","America/New_York",40.72269,-73.99752
1046,"David Hill","4951 Park Pl","Bayonne, NJ 07002","1980-02-01","732-643-9720","America/New_York",40.66680,-74.11580
1047,"Tammy Houston","4148 N Park Pl","Cleveland, OH 44111","1999-07-04","216-937-0321","America/New_York",41.47640,-81.68050
1048,"Steven Baker","3620 Lee Pl NW","Charlottesville, VA 22901","1952-05-31","434-853-6773","America/New_York",38.03750,-78.48550
1049,"Jeremy Burgess","155-51 Rockaway Beach Blvd","Rockaway Park, NY 11694","1994-09-10","516-349-3289","America/New_York",40.56932,-73.82599
1050,"Kelly Pope","188E Ft Hamilton","Brooklyn, NY 11209","1994-02-21","838-874-8624","America/New_York",40.60627,-74.03060
1051,"Nancy Davis","96 Norfolk St","Manhattan, NY 10002","1960-08-29","516-848-7050","America/New_York",40.71998,-73.98591
1052,"Stacy Day","522 NW Park St","Santa Barbara, CA 93105","1959-02-20","619-667-1726","America/Los_Angeles",34.42850,-119.72020
1053,"Rickey Patton","61-26 77th St","Middle Village, NY 11379","1996-12-11","516-627-2006","America/New_York",40.72023,-73.87872
1054,"Tammy Nelson","321 Vineland Ave","Staten Island, NY 10312","1973-05-23","929-715-7490","America/New_York",40.55181,-74.19497
1055,"James Davis","998 W 5th Dr","Riverton, UT 84096","1963-01-25","801-801-0068","America/Denver",40.51760,-111.96360
1056,"John Gill III","2 Bushwick Ct","Brooklyn, NY 11206","1989-01-04","347-250-6591","America/New_York",40.70444,-73.93860
1057,"Raymond House V","660A Van Duzer St","Staten Island, NY 10304","2000-09-09","607-982-1214","America/New_York",40.63115,-74.08185
1058,"Martin Mcgee","2170 W 9th Ave","Rochester, NY 14619","1999-11-12","585-849-6137","America/New_York",43.16800,-77.61620
1059,"Victoria Weeks","240½ Penn St","Brooklyn, NY 11211","1962-11-02","516-222-5139","America/New_York",40.70511,-73.95714
1060,"Christopher Garcia","16½ W 75th St","Manhattan, NY 10023","1942-04-30","716-263-0817","America/New_York",40.78053,-73.98291
1061,"Justin Wilson","802 Bartholdi St","Bronx, NY 10467","1991-01-09","838-230-4794","America/New_York",40.87368,-73.86478
1062,"James Beck","21 Cooper Pl","Bronx, NY 10475","1954-01-01","680-587-4896","America/New_York",40.87685,-73.82564
1063,"Tammy Brown","1293 Park Way NW","Atlantic City, NJ 08401","1993-09-25","732-697-5609","America/New_York",39.37970,-74.45270
1064,"Luis Williams Jr.","980B Jerome Ave","Bronx, NY 10452","1960-10-12","680-904-0490","America/New_York",40.84272,-73.91420
1065,"James Johnson","73-20 168th St","Fresh Meadows, NY 11366","1961-02-20","680-361-5572","America/New_York",40.72788,-73.80109
1066,"Katherine Page","158 W 74th St","Manhattan, NY 10023","1972-12-29","516-911-8689","America/New_York",40.77825,-73.98456
1067,"Ryan Henderson","1943 Park St","New York, NY 11358","1990-05-26","347-277-7946","America/New_York",40.69430,-73.92490
1068,"Hannah Kari Hartman","2918 NW 6th Ave","San Diego, CA 92093","1989-01-23","408-223-7422","America/Los_Angeles",32.83130,-117.12220
1069,"Keith Cobb","1204A Lexington Ave","Manhattan, NY 10028","1995-09-07","332-273-6129","America/New_York",40.77795,-73.95654
1070,"Leonard Hoffman","3434 Newkirk Ave","Brooklyn, NY 11203","1976-12-18","838-725-4506","America/New_York",40.64031,-73.94407
1071,"Brooke Arroyo","1733 72nd St","Brooklyn, NY 11204","1970-11-29","838-777-7399","America/New_York",40.61185,-73.99127
1072,"Christian Manning","2376 S Park Pl","Easley, SC 29640","1998-10-16","803-935-5644","America/New_York",34.81880,-82.58270
1073,"Kimberly Williams","1709 Vyse Ave","Bronx, NY 10460","1965-03-05","838-358-0209","America/New_York",40.83428,-73.88113
1074,"Joseph Romero","1031A Clay Ave","Bronx, NY 10456","1979-03-17","516-986-1372","America/New_York",40.83688,-73.90947
1075,"Sherry Smith","2153 Park Dr SW","Manorville, NY 11949","1997-06-20","347-960-4681","America/New_York",40.85740,-72.79150
1076,"Zachary Arnold","74-26 267th St","Glen Oaks, NY 11004","1952-08-12","716-279-2861","America/New_York",40.75372,-73.71219
1077,"Lindsay Boyer","2600 W 15th St","Brooklyn, NY 11214","1978-12-04","212-409-1414","America/New_York",40.58478,-73.98400
1078,"Thomas Garcia","141 Branton St","Brooklyn, NY 11236","1961-03-15","716-268-5311","America/New_York",40.64549,-73.91901
1079,"Robert Mejia","372-1 Willow Rd E","Staten Island, NY 10314","1998-10-18","631-961-3677","America/New_York",40.61400,-74.14905
1080,"Tyler Gomez","3896 Waldo Ave","Bronx, NY 10463","1981-06-22","585-794-1432","America/New_York",40.88671,-73.90529
1081,"Leslie Duncan","99-34 200th St","Hollis, NY 11423","1985-10-23","332-805-4883","America/New_York",40.70930,-73.75985
1082,"Steven White","309 N Park Ave","Yorba Linda, CA 92887","1961-02-22","510-396-8689","America/Los_Angeles",33.88900,-117.77140
1083,"Jennifer Kline","273C W 22nd St","Manhattan, NY 10011","1948-01-29","680-297-2055","America/New_York",40.74787,-73.99450
1084,"Kathryn Burns","129 Park St S","Henderson, NV 89014","1986-08-11","702-600-5595","America/Los_Angeles",36.01330,-115.03810
1085,"Mark Davis","4694 Willow Rd","Fullerton, CA 92833","1951-09-21","818-584-5684","America/Los_Angeles",33.88410,-117.92790
1086,"Zachary Molina","276A Senator St","Brooklyn, NY 11220","1985-03-12","917-317-8468","America/New_York",40.63653,-74.02402
1087,"Melissa Pugh","763 Aspen St","Denver, CO 80205","1975-04-25","970-948-2921","America/Denver",39.76200,-104.87580
1088,"Rebecca Jones","735 NW Park Dr","Kansas City, MO 64125","1964-10-19","636-525-7842","America/Chicago",39.12380,-94.55410
1089,"Megan Thompson","140-1 Linden St","Brooklyn, NY 11221","1954-10-27","585-659-6093","America/New_York",40.69217,-73.92051
1090,"Mary Butler","3794 Dogwood St SE","Atlanta, GA 30316","1993-05-10","470-897-1995","America/New_York",33.76280,-84.42200
1091,"Jacob Soto","179-48 75th Ave","Fresh Meadows, NY 11366","1939-02-01","516-570-4471","America/New_York",40.73010,-73.78753
1092,"Dean Harris","1680A Nelson Ave","Bronx, NY 10453","1960-11-17","212-992-9435","America/New_York",40.84716,-73.91876
1093,"Melissa Hart","2891 E 3rd Ln","Silver Lake, NC 28412","2000-02-25","704-965-5616","America/New_York",34.14090,-77.90890
1094,"Daniel Kennedy","145-26 114th St","South Ozone Park, NY 11420","1984-07-13","838-765-9593","America/New_York",40.67603,-73.82463
1095,"Scott Johnson","9223 Skidmore Ave","Brooklyn, NY 11236","1960-03-04","607-270-9041","America/New_York",40.63182,-73.89016
1096,"Brad Byrd","210-11 41st Ave","Bayside, NY 11361","1989-02-16","516-298-9615","America/New_York",40.76411,-73.77597
1097,"Jennifer Campbell","118-12 232nd St","Cambria Heights, NY 11411","1960-07-13","718-959-9938","America/New_York",40.68600,-73.73141
1098,"Mark Garcia","96-49 102nd St","Ozone Park, NY 11416","1987-10-06","516-428-6281","America/New_York",40.68511,-73.84178
1099,"Nicholas Hoffman","152-82 110th Ave","Jamaica, NY 11433","1994-01-24","332-848-0062","America/New_York",40.69830,-73.79533
1100,"Kimberly Weber","71-72 Calamus Ave","Woodside, NY 11377","1962-06-10","716-700-6862","America/New_York",40.73441,-73.89284
1101,"Amber Price","45-16 168th St","Flushing, NY 11358","1996-09-30","516-373-6186","America/New_York",40.76565,-73.79831
1102,"Kevin Stewart","3080A Grand Concession","Bronx, NY 10468","1959-10-09","838-396-4648","America/New_York",40.87608,-73.89652
1103,"Beth Cynthia Padilla","223-48 Murdock Ave","Queens Village, NY 11429","1957-12-28","516-246-8905","America/New_York",40.70320,-73.73844
1104,"William Smith","105-48 Pinegrove St","Jamaica, NY 11435","1999-02-24","516-779-2386","America/New_York",40.68884,-73.80313
1105,"Patricia Collins","106-36 65th Ave","Forest Hills, NY 11375","1956-03-20","838-985-5293","America/New_York",40.73242,-73.84684
1106,"Jeremy Kemp","81-52 54th Ave","Elmhurst, NY 11373","1963-02-05","315-566-7813","America/New_York",40.73723,-73.88278
1107,"Darlene Lopez","94-12 40th Dr","Elmhurst, NY 11373","1968-07-15","585-370-8742","America/New_York",40.74748,-73.87189
1108,"Melanie Beltran","2360 Aspen St","Blue River, CO 80424","1940-09-11","983-538-7859","America/Denver",39.43620,-106.03500
1109,"Michelle Pollard","332 Ave P","Brooklyn, NY 11204","1984-09-25","315-822-1450","America/New_York",40.60874,-73.98019
1110,"Alfred White","4779 33rd Rd","Palm Bay, FL 32976","1974-11-22","786-674-9328","America/New_York",27.96310,-80.65930
1111,"Tyler Mendoza","870 Brinsmade Ave","Bronx, NY 10465","1958-03-14","585-209-2210","America/New_York",40.81508,-73.82652
1112,"Robert Mcdonald","2596 13th St","Miami, FL 33139","1993-12-09","561-300-3688","America/New_York",25.78400,-80.21010
1113,"Kristina Olson","296 Murray St","Manhattan, NY 10282","1961-08-19","315-876-4254","America/New_York",40.71642,-74.01640
1114,"Christopher Farrell","2878 95th Ln","Bayamón, PR 00959","1968-12-29","710-613-0657","America/Puerto_Rico",18.37940,-66.16350
1115,"Lauren Manning","256½ E 50th St","Manhattan, NY 10022","1954-01-23","516-961-3900","America/New_York",40.75526,-73.96742
1116,"Vanessa Jones","41-19 91st Ave","Richmond Hill, NY 11418","1958-06-13","516-840-1216","America/New_York",40.69473,-73.83507
1117,"Matthew King","75-31 Jamaica Ave","Woodhaven, NY 11421","1987-08-09","585-980-9331","America/New_York",40.69162,-73.85542
1118,"Patrick Stokes","596A W 145th St","Manhattan, NY 10031","1995-05-13","914-664-3393","America/New_York",40.82410,-73.94421
1119,"Gabrielle Saunders","45 Clark St","Brooklyn, NY 11201","1984-11-06","838-980-9795","America/New_York",40.69767,-73.99588
1120,"Danielle Rodriguez","232B Greenpoint Ave","Brooklyn, NY 11222","1971-02-19","516-342-0091","America/New_York",40.73129,-73.95650
1121,"Eric Walker","4202 2nd Ave NE","Roodhouse, IL 62082","1967-04-17","618-770-3325","America/Chicago",39.48400,-90.37400
1122,"Sam Watkins","66A 2nd Ave","Manhattan, NY 10003","1956-11-08","516-674-9806","America/New_York",40.73222,-73.99090
1123,"Joanna Kimberly Golden","4171 Park St","Elizabeth, NJ 07202","1955-09-03","551-268-2180","America/New_York",40.66580,-74.19130
1124,"Eric Mendoza","123½ Troutman St","Brooklyn, NY 11221","1980-09-10","646-248-2493","America/New_York",40.69891,-73.93259
1125,"Richard Reese","117 Lott St","Brooklyn, NY 11226","1987-03-09","585-224-9902","America/New_York",40.64790,-73.95407
1126,"Keith Young","4498 S 10th Pl","Apalachicola, FL 32320","1946-01-23","448-208-4315","America/New_York",29.72830,-84.99400
1127,"Bruce Benson","1387 Ave P","Brooklyn, NY 11229","1959-10-01","585-912-5952","America/New_York",40.61174,-73.95381
1128,"Michael Brown Jr.","144 Lafayette Ave","Brooklyn, NY 11238","1936-01-30","838-994-7260","America/New_York",40.68778,-73.96144
