customerid,name,address,citystatezip,birthdate,phone,timezone,lat,long
1001,"Daniel Davenport","434A Lewis Ave","Brooklyn, NY 11233","1984-10-04","716-830-1680","America/New_York",40.68096337041813,-73.93565605512796
1002,"Cheryl Stewart","26 E 53rd St","Manhattan, NY 10022","1974-01-28","315-592-2559","America/New_York",40.75878,-73.96524
1003,"Brandi Oconnell","3936 26th Ave SE","San Juan, PR 00915","1984-08-16","710-748-4569","America/Puerto_Rico",18.39850,-66.06100
1004,"Corey Faulkner","86-20 131st St","Richmond Hill, NY 11418","1951-04-01","212-380-6434","America/New_York",40.70236,-73.82165
1005,"Bryan Bridges","637 Park Ln","Brockton, MA 02301","1972-11-28","857-351-3324","America/New_York",42.08210,-71.02420
1006,"Monica Adams","61-76 Catalpa Ave","Ridgewood, NY 11385","1999-03-29","917-427-6011","America/New_York",40.70320,-73.90194
1007,"Monique Ramirez","99-29 Rockaway Blvd","Ozone Park, NY 11417","1961-03-22","516-515-5134","America/New_York",40.67960,-73.84370
1008,"Andrew Jones","171-24 Bagley Ave","Flushing, NY 11358","1974-08-03","838-959-0952","America/New_York",40.75193,-73.79358
1009,"Michael Johnson","1298 E 68th St","Brooklyn, NY 11234","1945-05-11","838-857-5252","America/New_York",40.62034,-73.91630
1010,"Derrick Beasley","3308 E 12th Dr","Philadelphia, PA 19118","1946-12-12","570-947-7936","America/New_York",40.00770,-75.13390
1011,"Dominique Harrell","971 New Lots Ave","Brooklyn, NY 11208","1969-04-28","716-666-5314","America/New_York",40.66671,-73.87783
1012,"Vanessa Wilson","1117 W Lehua Pl","Honolulu, HI 96858","1951-11-08","808-556-4663","Pacific/Honolulu",21.32940,-157.84600
1013,"Billy Johnson","1525½ Fulton St","Brooklyn, NY 11216","1948-07-15","516-503-8567","America/New_York",40.68008,-73.95010
1014,"Dawn Gillespie","4713 SW Park Way","North Las Vegas, NV 89030","1942-11-02","702-522-1695","America/Los_Angeles",36.28830,-115.08880
1015,"Nicole Fitzgerald","574 Hart St","Brooklyn, NY 11221","1976-04-08","716-340-8196","America/New_York",40.69688,-73.92778
1016,"Richard Diaz Jr.","3513 Mickle Ave","Bronx, NY 10469","1975-06-19","631-231-2478","America/New_York",40.87014,-73.84112
1017,"Kerry Garcia","22 Jumel Terrace","Manhattan, NY 10032","1986-07-28","516-237-6970","America/New_York",40.83455,-73.93881
1018,"Jason Leblanc","30 Narrows Rd S","Staten Island, NY 10305","1965-01-11","631-902-1998","America/New_York",40.60237,-74.06972
1019,"Joseph Long","23-75 Mott Ave","Far Rockaway, NY 11691","1973-12-13","631-823-1317","America/New_York",40.61066,-73.75634
1020,"Bruce Campbell Jr.","321A 67th St","Brooklyn, NY 11220","1997-08-16","716-865-8088","America/New_York",40.63358,-74.02233
1021,"Christina Mcdonald","2174 Coleman St","Brooklyn, NY 11234","1949-06-30","315-841-6244","America/New_York",40.60815,-73.93507
1022,"William Reynolds","260 E 39th St","Manhattan, NY 10016","1970-01-18","838-883-2089","America/New_York",40.75006,-73.97331
1023,"Tina White","2738 NE 4th Ln","Greeley, CO 80631","1970-11-14","970-974-5090","America/Denver",40.41520,-104.77060
1024,"Sydney Murphy","4023 E 4th Ave","Kingfield, ME 04947","1941-04-02","207-959-2118","America/New_York",44.95820,-70.15920
1025,"Samuel Hall","31-97 Steinway St","Astoria, NY 11103","1945-07-06","914-890-6997","America/New_York",40.76372,-73.91902
1026,"Cory Turner","244-37 144th Ave","Rosedale, NY 11422","1956-11-03","585-965-7394","America/New_York",40.65918,-73.73390
1027,"Tyler Garcia","296 N 6th St","Brooklyn, NY 11211","1953-08-09","646-553-3808","America/New_York",40.71696,-73.95818
1028,"Theresa Ruiz","344 W 119th St","Manhattan, NY 10026","1979-05-31","332-558-3486","America/New_York",40.80659,-73.95500
1029,"Wayne Harris","98 W 68th St","Manhattan, NY 10023","1973-05-17","315-763-5525","America/New_York",40.77461,-73.98285
1030,"Michael Swanson","2735A Broadway","Manhattan, NY 10025","1959-07-24","585-565-5042","America/New_York",40.80380,-73.97193
1031,"Tina Jasmin Fuentes","85A Moffat St","Brooklyn, NY 11207","1957-07-30","838-732-5899","America/New_York",40.69044,-73.90728
1032,"Lisa Neal","94-26 40th Dr","Elmhurst, NY 11373","1948-11-30","607-299-6368","America/New_York",40.74751,-73.87128
1033,"Laura Bender","57-15 Gipson St","Far Rockaway, NY 11691","1973-08-08","838-773-2323","America/New_York",40.60916,-73.75850
1034,"Marcus Barnes","561A Kingston Ave","Brooklyn, NY 11203","1945-08-25","838-317-3507","America/New_York",40.66256,-73.94216
1035,"Calvin Love","4573 SW Park Rd","Denison, IA 51442","1996-07-24","712-872-2736","America/Chicago",42.01620,-95.35280
1036,"Michelle Keller","4022 SW Park Way","Amboy, WA 98601","1996-05-25","253-212-3578","America/Los_Angeles",45.91220,-122.47960
1037,"Katelyn Boyer","32 Bowling Grn Place","Staten Island, NY 10314","1967-02-17","914-892-3062","America/New_York",40.59561,-74.16675
1038,"John Brooks","135 Lincoln Rd","Brooklyn, NY 11225","1988-07-19","631-346-8025","America/New_York",40.66059,-73.95421
1039,"Morgan Harrison","63-7 Ingram St","Forest Hills, NY 11375","1970-11-23","315-287-3514","America/New_York",40.71394,-73.84581
1040,"Isaiah Anderson Jr.","689 9th Ln","Woodcrest, CA 92506","1997-07-29","805-685-8632","America/Los_Angeles",33.87890,-117.36870
1041,"Jorge Woods Jr.","91-79 102nd St","Richmond Hill, NY 11418","1963-07-02","516-368-2758","America/New_York",40.69418,-73.84676
1042,"Tracy Brown","505 E 118th St","Manhattan, NY 10035","1978-06-10","315-665-9875","America/New_York",40.80014,-73.93971
1043,"Austin Wheeler","811 Cauldwell Ave","Bronx, NY 10456","2000-01-11","838-917-8109","America/New_York",40.82525,-73.90610
1044,"David Gonzalez","76 Pierpont Pl","Staten Island, NY 10314","1968-03-12","838-405-2595","America/New_York",40.57985,-74.15592
1045,"Randy Peters","7021 Louise Terrace","Brooklyn, NY 11209","2001-05-21","347-930-8123","America/New_York",40.63642,-74.03256
1046,"Mark Jensen","2626 W Park Dr","Kansas City, MO 64158","1959-06-28","573-754-1364","America/Chicago",39.12380,-94.55410
1047,"Stacey Silva","245-3 82nd Ave","Bellerose, NY 11426","1970-02-19","212-239-6342","America/New_York",40.73970,-73.72563
1048,"Toni Soto","3600B Jerome Ave","Bronx, NY 10467","1982-08-20","315-263-5968","America/New_York",40.88578,-73.88116
1049,"Summer Garrison","2010A 86th St","Brooklyn, NY 11214","1935-07-21","680-304-9896","America/New_York",40.60758,-73.98651
1050,"Sandy Kelsey Gray","2038 E Park Way","Round Rock, TX 78664","1943-10-29","903-943-6909","America/Chicago",30.52700,-97.66420
1051,"Tracy Brown","77-75 62nd Dr","Middle Village, NY 11379","1993-12-16","845-421-1340","America/New_York",40.72247,-73.88769
1052,"Megan Stevens","80 W 48th St","Manhattan, NY 10036","1965-08-16","516-357-0828","America/New_York",40.76166,-73.98884
1053,"Nathaniel Rodriguez","176 W 88th St","Manhattan, NY 10024","1999-05-10","516-274-7353","America/New_York",40.79101,-73.97291
1054,"Russell Freeman","525 Manhattan Ave","Manhattan, NY 10027","1953-02-04","914-976-9694","America/New_York",40.80771,-73.95368
1055,"Barbara Gonzales","81 Chrystie St","Manhattan, NY 10002","1972-09-02","914-627-2151","America/New_York",40.71778,-73.99313
1056,"Tracy Rodgers","94 SE Park Dr","Murrieta, CA 92563","1956-12-29","916-372-6272","America/Los_Angeles",33.57190,-117.19090
1057,"Bryce Mckinney","78 Bevy Ct","Brooklyn, NY 11229","1961-07-05","838-488-7734","America/New_York",40.59245,-73.92636
1058,"Shannon Munoz","58-15 83rd Pl","Middle Village, NY 11379","1997-04-12","716-721-4597","America/New_York",40.72217,-73.87003
1059,"Joe Williams Jr.","1398 58th St","Brooklyn, NY 11219","1959-08-04","585-808-7679","America/New_York",40.63318,-73.99673
1060,"David Thompson","2091 Ryer Ave","Bronx, NY 10457","1947-08-24","845-881-3839","America/New_York",40.85465,-73.90071
1061,"Erik Washington","2163 SE Maple St","Forty Fort, PA 18704","1952-11-16","445-399-3457","America/New_York",41.28460,-75.86900
1062,"Christian Fowler Jr.","2693 Rear Clarendon Rd","Brooklyn, NY 11226","2000-08-21","516-569-2852","America/New_York",40.64325,-73.94785
